trial,phase,object,toShock,seenBefore,shockedCategory,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,2,tool,0,0,animals,t_322.png,322,tbd,0.0283039530531823,7.26002596925537,7.11118767388422,0,1.4345079072782,0,2,1
2,2,tool,0,0,animals,t_188.png,188,tbd,11.8760941732771,21.0243944931799,9.10951184007007,0,0.964729003928369,0,2,1
3,2,animal,0,0,animals,a_130.png,130,tbd,25.5903482262675,34.5886030977763,8.93853080888272,1,0.833114370379917,0,1,0
4,2,animal,0,0,animals,a_124.png,124,tbd,39.1545805653805,46.0032524908465,6.79299775019084,0,2.28202550129026,0,2,1
5,2,tool,0,0,animals,t_266.png,266,tbd,50.569197564042,60.3006424637188,9.68056848643324,0,1.15713703748406,0,2,1
6,2,animal,0,0,animals,a_116.png,116,tbd,64.8499265472874,72.8650945074851,7.95815470441027,0,1.21032320398172,0,2,1
7,2,animal,1,0,animals,a_083.png,83,tbd,77.4143625542174,86.8458743595738,9.38770528225859,0,1.10907303639669,1,2,0
8,2,animal,0,0,animals,a_164.png,164,tbd,91.6118366242581,98.0772294529697,6.40100379606056,0,1.56631241696414,0,2,1
9,2,tool,0,0,animals,t_329.png,329,tbd,102.6431809409,111.258170507333,8.56205887280478,0,2.42697155658152,0,2,1
10,2,tool,0,0,animals,t_347.png,347,tbd,115.807463250794,123.42264525926,7.55404543026183,0,1.28998458298247,0,2,1
11,2,tool,0,0,animals,t_201.png,201,tbd,127.971936399036,134.154032426327,6.12258570608141,0,2.29611161653429,0,2,1
12,2,animal,1,0,animals,a_074.png,74,tbd,138.72000604509,147.118339561244,8.33103423332035,1,2.26737649310417,1,1,1
13,2,animal,0,0,animals,a_129.png,129,tbd,151.8843181835,159.382862038794,7.43458049646734,0,1.78037210350158,0,2,1
14,2,tool,0,0,animals,t_290.png,290,tbd,163.948801017991,171.747270269924,7.7307585901963,0,1.07947833855997,0,2,1
15,2,animal,0,0,animals,a_104.png,104,tbd,176.313244850898,183.945016003966,7.58106556265628,0,0.987192120808686,0,2,1
16,2,tool,0,0,animals,t_284.png,284,tbd,188.511074938697,197.026077078011,8.47042310594827,0,0.806782527188261,0,2,1
17,2,animal,1,0,animals,a_038.png,38,tbd,201.57536982147,207.990775832462,6.34631026607875,0,1.14048727364298,1,2,0
18,2,animal,1,0,animals,a_072.png,72,tbd,212.756678440115,221.188218149566,8.3738336724458,0,1.79871086690764,1,2,0
19,2,tool,0,0,animals,t_248.png,248,tbd,225.954186828984,235.852380503928,9.83249040837502,0,2.12921498163905,0,2,1
20,2,animal,1,0,animals,a_137.png,137,tbd,240.418409610144,249.349937452335,8.87539360273931,0,1.58422235537637,1,2,0
21,2,tool,0,0,animals,t_250.png,250,tbd,254.115942054266,262.264378366538,8.10263646689459,1,0.64932549468358,0,1,0
22,2,animal,1,0,animals,a_179.png,179,tbd,266.830287196484,276.361878801136,9.45734124914081,0,2.17268507069457,1,2,0
23,2,tool,0,0,animals,t_206.png,206,tbd,281.11103670688,290.292547710395,9.13351676973471,1,2.3474503395264,0,1,0
24,2,tool,0,0,animals,t_181.png,181,tbd,294.858582589871,302.090499293262,7.17613669493811,0,1.35889165978188,0,2,1
25,2,tool,0,0,animals,t_233.png,233,tbd,306.63978433904,315.02149182587,8.32933471681656,1,2.19359261448608,0,1,0
26,2,animal,1,0,animals,a_094.png,94,tbd,319.58746384095,327.202654509307,7.56245560778901,0,2.12789803666965,1,2,0
27,2,tool,0,0,animals,t_184.png,184,tbd,331.968580851478,339.083835025706,7.05607611511376,0,2.14130194491008,0,2,1
28,2,tool,0,0,animals,t_334.png,334,tbd,343.633158239154,353.247955042821,9.56576596602093,0,2.61585212769751,0,2,1
29,2,tool,0,0,animals,t_257.png,257,tbd,357.813891776861,366.928805328693,9.04391032874552,1,1.95665990954058,0,1,0
30,2,animal,1,0,animals,a_002.png,2,tbd,371.494789852505,380.409717965784,8.86438018523705,0,1.33412052146832,1,2,0
31,2,tool,0,0,animals,t_279.png,279,tbd,385.175661627738,394.173906235672,8.94700262402743,0,2.17363958317219,0,2,1
32,2,animal,1,0,animals,a_067.png,67,tbd,398.739879212962,407.188296730063,8.37893062869849,1,1.96879658700345,1,1,1
33,2,tool,0,0,animals,t_236.png,236,tbd,411.954151227208,421.035669671815,9.04558295960419,0,1.05293929944855,0,2,1
34,2,tool,0,0,animals,t_183.png,183,tbd,425.601758755797,431.867136958915,6.20914924266644,0,2.13199865562638,0,2,1
35,2,tool,0,0,animals,t_310.png,310,tbd,436.433111219151,444.164818802201,7.68938511737371,0,1.39983690938243,0,2,1
36,2,animal,0,0,animals,a_151.png,151,tbd,448.730866511147,456.495996143307,7.71773342665174,0,2.29625979689718,0,2,1
37,2,animal,0,0,animals,a_096.png,96,tbd,461.045317111598,468.243922420047,7.14511520563995,0,2.08287173305052,0,2,1
38,2,animal,1,0,animals,a_049.png,49,tbd,472.826580762954,479.158634677514,6.27064731646718,0,1.87261951210985,1,2,0
39,2,tool,0,0,animals,t_235.png,235,tbd,483.907891370167,493.905952516698,9.93307292809126,0,2.13795505724374,0,2,1
40,2,animal,1,0,animals,a_142.png,142,tbd,498.455274447199,506.153786100526,7.63438442310327,1,2.05159509185705,1,1,1
41,2,tool,0,0,animals,t_337.png,337,tbd,510.919691915547,517.118444121415,6.14534307437288,0,1.35149867839937,0,2,1
42,2,animal,1,0,animals,a_014.png,14,tbd,521.684428324489,531.415885732898,9.66014770535591,0,1.56263901931652,1,2,0
43,2,tool,0,0,animals,t_261.png,261,tbd,536.181816244646,545.863199915683,9.64719987283438,0,2.81903082102963,0,2,1
44,2,animal,1,0,animals,a_068.png,68,tbd,550.429220682745,558.84424597925,8.3649954917972,0,3.37857398930555,1,2,0
45,2,animal,1,0,animals,a_046.png,46,tbd,563.61020856467,570.108923372635,6.43081076274406,0,1.82219456802977,1,2,0
46,2,animal,0,0,animals,a_037.png,37,tbd,574.858192894757,582.323416374481,7.42660361288341,0,2.20737819942315,0,2,1
47,2,tool,0,0,animals,t_192.png,192,tbd,586.872711363098,594.071237449577,7.14232835515633,0,1.4789770912148,0,2,1
48,2,animal,1,0,animals,a_033.png,33,tbd,598.637182522772,608.568655198249,9.86726797209845,1,1.37225258930266,1,1,1
49,2,animal,1,0,animals,a_121.png,121,tbd,613.317955831832,619.533315143557,6.16831527451742,0,1.00806342135184,1,2,0
50,2,tool,0,0,animals,t_331.png,331,tbd,624.299301142758,631.431259926807,7.09405752534281,0,0.995538331721036,0,2,1
51,2,animal,1,0,animals,a_054.png,54,tbd,635.997187680219,645.112134909406,9.04829012772693,0,2.31743804248163,1,2,0
52,2,tool,0,0,animals,t_356.png,356,tbd,649.878017952121,656.976657964283,7.04449918581065,0,3.04445036069501,0,2,1
53,2,tool,0,0,animals,t_251.png,251,tbd,661.542578982224,669.407701173292,7.81734846258753,0,1.95396123078353,0,2,1
54,2,animal,1,0,animals,a_073.png,73,tbd,673.957020858637,680.822324586688,6.81358733676203,1,0.846797961039556,1,1,1
55,2,animal,1,0,animals,a_090.png,90,tbd,685.588235533496,691.753616045918,6.10697553728952,0,0.507840830068744,1,2,0
56,2,tool,0,0,animals,t_237.png,237,tbd,696.502994297787,704.118145194792,7.5668514652168,0,1.07194872333366,0,2,1
57,2,tool,0,0,animals,t_306.png,306,tbd,708.684116247661,715.299427513026,6.57137836537863,0,1.18515306918835,0,2,1
58,2,tool,0,0,animals,t_205.png,205,tbd,719.865421658939,729.680182732534,9.76832120648646,0,1.01902491947385,0,2,1
59,2,animal,0,0,animals,a_128.png,128,tbd,734.246168218557,743.944293704873,9.6436451684457,0,1.26355972614328,0,2,1
60,2,animal,1,0,animals,a_015.png,15,tbd,748.510273417634,756.675328061549,8.11819175794187,0,1.26408380994326,1,2,0
