trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
1,2,tool,0,1,animals,1,t_252.png,252,tbd,0.0185000614201272,2.90417121094288,3.48797668803491,1.74929373840398,0,1,0.536329763930553,4,1.52959540752636
2,4,animal,0,0,animals,1,a_069.png,69,tbd,5.02257060414559,7.65803890416464,8.40863664311291,1.54184928467525,0,1,0.712636508724245,4,0.95012315252643
3,4,animal,0,0,animals,1,a_029.png,29,tbd,9.37610187947212,11.6612926493035,12.1617049811066,1.2024431952208,0,2,0.446537095702297,4,0.528155726991827
4,4,animal,0,0,animals,1,a_068.png,68,tbd,12.6954634673475,15.0974255646761,16.1816397388429,1.30474184407417,0,2,1.04955723527928,4,0.368368744590043
5,2,tool,0,1,animals,1,t_275.png,275,tbd,16.5652831246025,19.634439451851,23.2540471972425,1.97778962054745,0,2,3.57185618670155,3,1.48725359391392
6,4,tool,0,0,animals,1,t_228.png,228,tbd,24.7552682152491,27.4574612889173,28.4916438418441,1.63091873172493,0,2,0.965943240049455,4,0.427774435098399
7,4,tool,0,0,animals,1,t_263.png,263,tbd,28.9253284115493,31.8110064079592,32.444861373624,1.80351986347221,0,2,0.582587749022423,4,0.354719169450618
8,4,animal,0,0,animals,1,a_152.png,152,tbd,32.8118214519272,34.96356752477,36.4314319861078,1.06103282126025,0,2,1.42217504516702,4,0.432273058504506
9,1,tool,0,1,animals,1,t_323.png,323,tbd,36.8818081342179,39.834200217394,41.3187401225696,1.85623618857125,0,1,1.43079950516949,4,0.546207769255489
10,1,animal,0,1,animals,1,a_167.png,167,tbd,41.8691910836696,44.1376834418425,45.255265279724,1.18994096484838,0,1,1.07338954103216,4,0.745842538153738
11,4,animal,0,0,animals,1,a_107.png,107,tbd,46.0058830814341,48.4245162189163,49.2752098912351,1.33525609200723,0,2,0.801705066902286,3,0.798052985222967
12,3,animal,0,1,animals,1,a_131.png,131,tbd,50.0925453077944,52.8781378115491,54.1291499839153,1.68453650974354,0,1,1.18927357985922,4,0.67129622228822
13,1,animal,0,1,animals,1,a_158.png,158,tbd,54.8130405511365,57.3484366497523,57.7654489212255,1.43542756292989,0,1,0.373108483561737,4,0.421141414843078
14,3,tool,0,1,animals,1,t_241.png,241,tbd,58.199136472962,60.3508725893953,61.1682054104094,1.05880150449651,0,1,0.770801671735171,4,0.35149812803138
15,2,animal,0,1,animals,1,a_028.png,28,tbd,61.5351725312466,64.2707285987308,67.2731717468905,1.63996214274358,0,1,2.95207301302435,3,0.353756951524701
16,2,animal,0,1,animals,1,a_165.png,165,tbd,67.6401317979326,69.8252485373687,71.0429160202511,1.08517775745249,0,1,1.16569327140132,3,0.288160195628734
17,2,tool,0,1,animals,1,t_344.png,344,tbd,71.3431424221126,73.9619421660682,74.7459149889291,1.52905796554525,0,1,0.744284674876326,4,0.440312916854964
