"trial","phase","object","toShock","seenBefore","shockedCategory","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
1,4,"animal",0,0,"tools","a_094.png",94,"tbd",0.0285743971949728,NA,NA,0.441326193689237,0,"2",NA,"1",NA
2,3,"animal",0,1,"tools","a_133.png",133,"tbd",2.91411982963029,NA,NA,0.249798540874774,0,"1",NA,"4",NA
3,1,"tool",0,1,"tools","t_321.png",321,"tbd",5.54910777166498,NA,NA,0.236927866961812,0,"1",NA,"1",NA
4,1,"tool",0,1,"tools","t_355.png",355,"tbd",7.06693066979398,NA,NA,0.835902552690607,0,"2",NA,"4",NA
5,4,"animal",0,0,"tools","a_095.png",95,"tbd",9.66874598916365,NA,NA,0.779507855663782,0,"1",NA,"4",NA
6,4,"animal",0,0,"tools","a_125.png",125,"tbd",12.4542544732811,NA,NA,0.183164674816651,0,"2",NA,"4",NA
7,4,"animal",0,0,"tools","a_003.png",3,"tbd",14.4559270999893,NA,NA,0.136930561667724,0,"2",NA,"4",NA
8,3,"animal",0,1,"tools","a_091.png",91,"tbd",16.6241679059851,NA,NA,0.48863793593681,0,"1",NA,"4",NA
9,4,"tool",0,0,"tools","t_295.png",295,"tbd",19.0426495913758,NA,NA,0.0913051007810473,0,"2",NA,"4",NA
10,2,"tool",0,1,"tools","t_314.png",314,"tbd",20.8106017153132,NA,NA,0.837384434862043,0,"2",NA,"1",NA
11,3,"animal",0,1,"tools","a_065.png",65,"tbd",23.5625864433418,NA,NA,0.426492872701745,0,"2",NA,"1",NA
12,4,"animal",0,0,"tools","a_030.png",30,"tbd",25.9309823203077,NA,NA,0.638076268267346,0,"2",NA,"4",NA
13,4,"animal",0,0,"tools","a_138.png",138,"tbd",28.9663283002498,NA,NA,0.0844250220948414,0,"2",NA,"4",NA
14,4,"tool",0,0,"tools","t_326.png",326,"tbd",31.5516932208701,NA,NA,0.638141253313017,0,"1",NA,"1",NA
15,2,"animal",0,1,"tools","a_029.png",29,"tbd",34.4372296339348,NA,NA,0.36668308689118,0,"1",NA,"4",NA
16,4,"tool",0,0,"tools","t_274.png",274,"tbd",36.8890795690264,NA,NA,0.431022009017344,0,"2",NA,"1",NA
17,4,"tool",0,0,"tools","t_296.png",296,"tbd",39.4574955374176,NA,NA,0.48349101683007,0,"2",NA,"1",NA
