trial,phase,object,toShock,seenBefore,shockedCategory,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,2,tool,0,0,tools,t_234.png,234,tbd,0.028083379450436,6.69333388204677,6.53745853072242,0,3.46174281917865,0,2,1
2,2,animal,0,0,tools,a_137.png,137,tbd,11.2760361104042,18.3414464045463,7.00317269534564,1,2.40913669667998,0,1,0
3,2,tool,1,0,tools,t_208.png,208,tbd,22.8907627199624,30.7059212349723,7.7595847164404,1,4.26426587060087,1,1,1
4,2,animal,0,0,tools,a_058.png,58,tbd,35.4719074458149,43.187076609318,7.65335001186318,0,1.05659651786254,0,2,1
5,2,tool,1,0,tools,t_321.png,321,tbd,47.7363704730919,54.451745870967,6.65536031714939,1,2.02049074881643,1,1,1
6,2,tool,1,0,tools,t_270.png,270,tbd,59.2176874992629,67.1161871522245,7.83788198439857,1,1.3606206219456,1,1,1
7,2,animal,0,0,tools,a_059.png,59,tbd,71.8821194791253,80.6471001771279,8.71594434912663,0,0.699241744707251,0,2,1
8,2,tool,1,0,tools,t_260.png,260,tbd,85.2130932517584,94.5779827960928,9.30883111098341,0,0.85803996602408,1,2,0
9,2,animal,0,0,tools,a_173.png,173,tbd,99.3439346879964,107.292423243432,7.89807696832443,0,1.3612685121966,0,2,1
10,2,tool,1,0,tools,t_299.png,299,tbd,111.858385847976,119.240206817297,7.32127178713993,1,1.47705804665247,1,1,1
11,2,animal,0,0,tools,a_003.png,3,tbd,123.989570794343,133.504451742906,9.45270856412778,0,0.772441475800406,0,2,1
12,2,tool,0,0,tools,t_294.png,294,tbd,138.05374400299,144.435853957022,6.32178678448966,0,1.36359193644421,0,2,1
13,2,tool,1,0,tools,t_242.png,242,tbd,149.0017947514,155.383889951495,6.32893662990361,1,1.64009545878616,1,1,1
14,2,tool,0,0,tools,t_350.png,350,tbd,160.133172461153,166.698603282511,6.51021288052591,1,1.37478087278805,0,1,0
15,2,animal,0,0,tools,a_160.png,160,tbd,171.247884316775,179.996044885789,8.69104175783707,0,0.734042752593723,0,2,1
16,2,tool,1,0,tools,t_181.png,181,tbd,184.562209555115,193.060540756611,8.43609911924426,1,1.10810026472063,1,1,1
17,2,tool,0,0,tools,t_323.png,323,tbd,197.809818455202,206.924747129542,9.06702866579183,0,1.0826221409593,0,2,1
18,2,animal,0,0,tools,a_086.png,86,tbd,211.490772919423,219.189260512645,7.64077079945657,0,0.730749096658201,0,2,1
19,2,tool,1,0,tools,t_315.png,315,tbd,223.755279567034,233.170281818612,9.3461453874477,0,0.697233926403896,1,2,0
20,2,animal,0,0,tools,a_062.png,62,tbd,237.936133961076,245.034721047148,7.04298129923386,0,0.829403858394926,0,2,1
21,2,animal,0,0,tools,a_011.png,11,tbd,249.600698405629,257.08258666573,7.42908098066502,0,1.05615903157377,0,2,1
22,2,animal,0,0,tools,a_109.png,109,tbd,261.631888227209,270.130301216831,8.44956598298477,0,0.767022611546054,0,2,1
23,2,tool,0,0,tools,t_339.png,339,tbd,274.696267670229,281.244865533089,6.49630219992987,0,0.777980295973521,0,2,1
24,2,tool,0,0,tools,t_220.png,220,tbd,285.810957715684,295.292499579016,9.42422300925674,0,1.33803779783648,0,2,1
25,2,animal,0,0,tools,a_012.png,12,tbd,299.841815894432,309.756655852711,9.8471810338171,0,1.54857230087964,0,2,1
26,2,animal,0,0,tools,a_034.png,34,tbd,314.322593760448,322.104429227115,7.72509972303639,0,0.733274585687013,0,2,1
27,2,tool,1,0,tools,t_193.png,193,tbd,326.670424867648,333.302453354292,6.56826115741188,1,0.752823872173849,1,1,1
28,2,animal,0,0,tools,a_057.png,57,tbd,338.068403963245,344.317180669473,6.19778752382542,0,0.646625037863032,0,2,1
29,2,animal,0,0,tools,a_041.png,41,tbd,348.883154179101,355.36521499611,6.41894737257367,0,0.870132741341877,0,2,1
30,2,animal,0,0,tools,a_009.png,9,tbd,359.931184656885,366.296610474734,6.30496662924374,0,0.753182136238593,0,2,1
