"trial","phase","object","toShock","seenBefore","shockedCategory","responseSide","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
1,4,"tool",0,0,"animals",1,"t_343.png",343,"tbd",0.0196686640547341,1.45375393741961,6.4908063524008,0.299299161652282,0,2,4.96187635080059,-1,5.00352462872888
2,3,"tool",0,1,"animals",1,"t_200.png",200,"tbd",11.5115118392896,13.5461874805942,14.3134216556264,0.949162459646305,0,1,0.685717766938069,4,3.01876030160747
3,4,"tool",0,0,"animals",1,"t_207.png",207,"tbd",17.3491143147176,18.7333682046547,19.267086387471,0.287138802600561,0,1,0.500691441106028,1,2.22906371813406
4,4,"tool",0,0,"animals",1,"t_337.png",337,"tbd",21.5021929084214,23.4700937121761,23.7204331068733,0.866009845198567,0,2,0.208115639847165,2,1.8489046466002
5,4,"animal",0,0,"animals",1,"a_004.png",4,"tbd",25.5885685089515,27.389749618048,27.7734107141323,0.704356318816358,0,2,0.3346133695959,4,1.70600711627321
6,4,"animal",0,0,"animals",1,"a_149.png",149,"tbd",29.4914178071313,30.9422792087562,31.0591488591108,0.348257760913384,0,2,0.0773716275780316,4,1.35639869922215
7,2,"tool",0,1,"animals",1,"t_269.png",269,"tbd",32.426965626717,34.0113487121253,35.0120811515399,0.490886775780162,0,1,0.956286796164932,4,1.35759392838372
8,2,"tool",0,1,"animals",1,"t_271.png",271,"tbd",36.3798624634801,38.3478780316282,38.9149609291517,0.870174737003019,0,1,0.51787313242221,4,1.44984210684925
9,1,"animal",0,1,"animals",1,"a_119.png",119,"tbd",40.3828080828862,42.1673682600158,42.3842194672034,0.701948059953755,0,2,0.167486556807489,4,1.42268399977002
10,3,"animal",0,1,"animals",1,"a_137.png",137,"tbd",43.8187308305887,45.4364512614184,45.9534844432565,0.534731439088985,0,2,0.477511832966229,3,1.0915283907616
11,2,"animal",0,1,"animals",1,"a_084.png",84,"tbd",47.0544372987279,48.8723186485195,49.2058821326664,0.740357741601307,0,1,0.290898710574766,3,1.01125147579114
12,4,"tool",0,0,"animals",1,"t_222.png",222,"tbd",50.2234311322418,52.174762632455,52.5083569070493,0.860904922443066,0,2,0.279444042354044,4,1.37648931021977
13,3,"animal",0,1,"animals",1,"a_110.png",110,"tbd",53.8925526372541,55.7107166993283,56.111066528566,0.723147501063815,0,1,0.346622265858059,3,1.01830808635896
14,4,"animal",0,0,"animals",1,"a_130.png",130,"tbd",57.1452330389475,58.4794275717459,58.5461417614461,0.238954692246829,0,2,0.0357115310953304,4,1.46633956601454
15,4,"tool",0,0,"animals",1,"t_335.png",335,"tbd",60.0306807584793,61.8319106968711,61.9987174756207,0.701930508276011,0,2,0.12363256324079,4,1.40781345804862
16,3,"tool",0,1,"animals",1,"t_350.png",350,"tbd",63.4164663953898,65.4012101955468,65.7681713619504,0.886204996273155,0,1,0.32645794439668,4,0.949537468034578
17,4,"animal",0,0,"animals",1,"a_066.png",66,"tbd",66.735635501188,68.369931766867,68.7370229373801,0.534287036371153,0,1,0.314852434088607,4,0.881952126401302
18,4,"tool",0,0,"animals",1,"t_187.png",187,"tbd",69.6377675996691,70.9219680883971,71.2887218080541,0.218267195120452,0,2,0.307891305006706,4,0.886184724279701
19,4,"tool",0,0,"animals",1,"t_305.png",305,"tbd",72.1896938220261,73.3570952607179,73.7907768371142,0.067783093885728,0,1,0.38486244564956,3,0.758205320910747
20,4,"animal",0,0,"animals",1,"a_152.png",152,"tbd",74.5581176901587,75.9589026288404,76.2759260448202,0.303788908071684,0,1,0.274176076829463,2,0.52212967842479
21,1,"animal",0,1,"animals",1,"a_055.png",55,"tbd",76.8097841842127,77.9772123701605,78.4442372012563,0.0818987926933618,0,2,0.417866072391007,4,0.855921758313343
22,4,"animal",0,0,"animals",1,"a_174.png",174,"tbd",79.3116267902906,80.5290757675657,80.8292931978822,0.145880639139098,0,1,0.245220927313312,3,0.725121452399435
23,1,"tool",0,1,"animals",1,"t_327.png",327,"tbd",81.5632845759355,82.6805115820807,83.3144570232753,0.0180289160814257,0,1,0.579782146341131,2,1.17087412797991
24,1,"animal",0,1,"animals",1,"a_157.png",157,"tbd",84.4987795230363,86.350076904946,86.7169733803112,0.767278240479465,0,1,0.316495213278358,3,0.943496942208185
25,4,"animal",0,0,"animals",1,"a_033.png",33,"tbd",87.6677820649584,89.5856720298543,89.9525361596998,0.816478132409975,0,2,0.310870513990267,4,0.869005832094444
