trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,1,tool,0,1,animals,2,t_312.jpg,312,tbd,0.0259359887045321,2.89472285504291,1.6893489352536,0,2,5.60489948098268
2,4,animal,0,0,animals,2,a_132.jpg,132,tbd,8.53283160366493,11.5850932415688,1.96295164098079,0,3,1.82072024983927
3,4,animal,0,0,animals,2,a_170.jpg,170,tbd,13.4202267999075,16.1721200109686,1.66786997482343,0,2,1.0527736738162
4,2,tool,0,1,animals,2,t_214.jpg,214,tbd,17.2399718743193,20.1088414899616,1.80176504717659,0,1,1.53215899402562
5,2,tool,0,1,animals,2,t_230.jpg,230,tbd,21.6602427596182,24.5457809075284,1.79421821761161,0,1,0.891433378850252
6,3,animal,0,1,animals,2,a_150.jpg,150,tbd,25.4466408267484,28.4157214531158,1.88857051490755,0,2,0.907624980052447
7,1,tool,0,1,animals,2,t_246.jpg,246,tbd,29.3331527222816,31.6515046897105,1.23400810483649,0,2,0.512924591868341
8,4,animal,0,0,animals,2,a_161.jpg,161,tbd,32.1687285724425,34.3871200221943,1.14712599062495,0,2,1.57548691444254
9,3,tool,0,1,animals,2,t_291.jpg,291,tbd,35.9717711168104,38.9739328621921,1.92598812601763,0,3,0.787823873456887
10,4,tool,0,0,animals,2,t_219.jpg,219,tbd,39.7749262387197,42.5770694456915,1.7213548680633,0,3,1.32978819439461
11,4,tool,0,0,animals,2,t_207.jpg,207,tbd,43.9116021093755,46.6468117136831,1.66816646100408,0,3,0.805112063303
12,2,animal,0,1,animals,2,a_070.jpg,70,tbd,47.4644598309279,49.8827796929098,1.32521832436456,0,1,0.691292640886672
13,3,tool,0,1,animals,2,t_195.jpg,195,tbd,50.5836435250814,52.8685169843967,1.22381756863565,0,3,1.32468756578862
14,2,animal,0,1,animals,2,a_065.jpg,65,tbd,54.2032507481334,56.5881950575312,1.30273938056605,0,3,0.808129205558998
15,4,animal,0,0,animals,2,a_018.jpg,18,tbd,57.4058579285278,59.6740727983212,1.17864379544198,0,3,0.632347553388968
16,4,animal,0,0,animals,2,a_178.jpg,178,tbd,60.3248761882202,62.9433262039521,1.53529440660792,0,2,0.387212041781822
17,1,animal,0,1,animals,2,a_031.jpg,31,tbd,63.3439839005515,66.4296961427337,1.99889514063477,0,2,0.724955570898487
18,1,tool,0,1,animals,2,t_193.jpg,193,tbd,67.1637363518392,69.5653880022869,1.3342427784313,0,3,0.498327037334889
19,4,animal,0,0,animals,2,a_124.jpg,124,tbd,70.0827751384907,72.2511042215675,1.09463502120776,0,1,1.82279828371577
20,4,animal,0,0,animals,2,a_099.jpg,99,tbd,74.0860142284921,76.3210299492562,1.13670208939171,0,3,1.08897424914835
21,4,tool,0,0,animals,2,t_338.jpg,338,tbd,77.4220472845939,80.1072410286182,1.62637048785236,0,3,1.22081153066063
22,2,tool,0,1,animals,2,t_232.jpg,232,tbd,81.3419254314329,83.8269652874106,1.39555605962359,0,2,0.986323096158685
23,4,animal,0,0,animals,2,a_046.jpg,46,tbd,84.8280657248594,87.3966900754136,1.48366726242632,0,2,0.246693460233132
24,4,tool,0,0,animals,2,t_194.jpg,194,tbd,87.6636845533409,90.5158830708453,1.75766395424767,0,3,0.375580953574058
25,3,tool,0,1,animals,2,t_280.jpg,280,tbd,90.8996259116675,93.8519231830894,1.87856353399419,0,3,1.29470794200279
26,4,tool,0,0,animals,2,t_264.jpg,264,tbd,95.1530812563905,97.7383552159223,1.51575475276174,0,3,0.704383067594108
27,4,tool,0,0,animals,2,t_355.jpg,355,tbd,98.4557480611865,100.62407682353,1.08674022684403,0,2,2.43983290147014
28,4,tool,0,0,animals,2,t_278.jpg,278,tbd,103.076151666105,105.878293910876,1.70600497762071,0,3,0.994726961513493
29,4,animal,0,0,animals,2,a_177.jpg,177,tbd,106.879229491184,109.147427041356,1.17980671184426,0,2,0.339616117537844
30,1,tool,0,1,animals,2,t_238.jpg,238,tbd,109.498036804298,111.783102383122,1.20744370415341,0,1,1.04807973558763
31,3,animal,0,1,animals,2,a_061.jpg,61,tbd,112.850766296503,115.769612642913,1.82225779770538,0,2,1.10675604821438
32,2,tool,0,1,animals,2,t_229.jpg,229,tbd,116.887338281502,119.706066950704,1.75111454848903,0,2,2.85752637046528
33,4,tool,0,0,animals,2,t_290.jpg,290,tbd,122.575307013811,125.644115305163,1.99047191242373,0,3,0.920608602425773
34,3,tool,0,1,animals,2,t_243.jpg,243,tbd,126.578499918155,129.63067752382,1.96825498677139,0,1,1.2461815691903
35,3,animal,0,1,animals,2,a_116.jpg,116,tbd,130.88200447947,133.233582537561,1.26920441310642,0,3,0.758385006750245
36,4,tool,0,0,animals,2,t_203.jpg,203,tbd,134.001203889576,136.586524996967,1.51439597995891,0,3,0.914578808185979
37,1,animal,0,1,animals,2,a_102.jpg,102,tbd,137.520718452652,140.55638211971,1.97041686041463,0,2,0.237812343079099
38,2,animal,0,1,animals,2,a_085.jpg,85,tbd,140.806686576209,143.675608792184,1.79730373648472,0,2,0.617709586404771
39,4,animal,0,0,animals,2,a_055.jpg,55,tbd,144.309541908295,146.944698623609,1.54693954787514,0,2,0.459718393111643
40,4,tool,0,0,animals,2,t_343.jpg,343,tbd,147.412068295861,150.330991297634,1.82611886549258,0,3,2.19761189732333
41,2,animal,0,1,animals,2,a_145.jpg,145,tbd,152.53275353115,155.368196411028,1.7481096464996,0,1,0.583520011598125
42,4,tool,0,0,animals,2,t_356.jpg,356,tbd,155.968985544312,158.354255719186,1.32146484478843,0,1,0.396559505788332
43,3,tool,0,1,animals,2,t_307.jpg,307,tbd,158.7544743313,161.706842484878,1.86786733753114,0,4,1.7751446273993
44,4,tool,0,0,animals,2,t_263.jpg,263,tbd,163.491762610952,165.726723165513,1.15676066306848,0,3,0.951297047768321
45,4,animal,0,0,animals,2,a_019.jpg,19,tbd,166.694346698517,168.995877785153,1.19909830142283,0,3,0.387312431441273
46,1,animal,0,1,animals,2,a_075.jpg,75,tbd,169.396536443954,171.531276045045,1.06781693370135,0,3,1.99906937556716
47,1,tool,0,1,animals,2,t_205.jpg,205,tbd,173.549894317695,176.468827582947,1.8632489692812,0,2,2.88470213992957
48,4,tool,0,0,animals,2,t_331.jpg,331,tbd,179.371283152504,182.123267451946,1.68842034903415,0,2,0.80638633843671
49,4,tool,0,0,animals,2,t_341.jpg,341,tbd,182.940826725946,185.459244058911,1.42877182565559,0,3,1.51448367855983
50,4,tool,0,0,animals,2,t_247.jpg,247,tbd,186.977363430234,189.696180333287,1.65108575141827,0,3,0.886741044290261
51,1,animal,0,1,animals,2,a_086.jpg,86,tbd,190.597028064625,193.382520700418,1.71604860390685,0,1,0.306538847328397
52,4,animal,0,0,animals,2,a_126.jpg,126,tbd,193.699562791268,196.584884443907,1.81448333638306,0,2,0.288277551326701
53,1,tool,0,1,animals,2,t_288.jpg,288,tbd,196.885456857405,199.504143574635,1.54949006059632,0,2,1.37914366391522
54,4,tool,0,0,animals,2,t_357.jpg,357,tbd,200.888704927951,203.640647532008,1.67242819511423,0,3,6.68195255375622
55,4,tool,0,0,animals,2,t_251.jpg,251,tbd,210.329713815163,213.298428805071,1.89346541696504,0,3,3.39338744913778
56,4,animal,0,0,animals,2,a_153.jpg,153,tbd,216.701516701189,218.886324762895,1.10201968506212,0,3,0.304530412672534
57,4,tool,0,0,animals,2,t_256.jpg,256,tbd,219.203542936567,222.072501074721,1.79569198063647,0,3,0.516498527890349
58,1,tool,0,1,animals,2,t_275.jpg,275,tbd,222.606309457482,225.024629640197,1.35504081095518,0,3,0.688506106187106
59,4,tool,0,0,animals,2,t_191.jpg,191,tbd,225.725483529623,228.010645007833,1.2267539146237,0,3,0.5465355630148
60,3,tool,0,1,animals,2,t_296.jpg,296,tbd,228.561084076282,231.062966302212,1.43021663470097,0,3,1.26934046934298
61,1,animal,0,1,animals,2,a_122.jpg,122,tbd,232.347520952194,234.866070106724,1.42879627437037,0,2,1.99438345568194
62,4,tool,0,0,animals,2,t_295.jpg,295,tbd,236.86784248135,239.569706040577,1.62858408921421,0,3,1.65094529907992
63,4,tool,0,0,animals,2,t_259.jpg,259,tbd,241.238042660896,243.523222741664,1.21532353198896,0,3,0.693553492992919
64,4,tool,0,0,animals,2,t_308.jpg,308,tbd,244.223787008526,246.625574970811,1.33162413585255,0,2,1.33135016768983
65,2,animal,0,1,animals,2,a_174.jpg,174,tbd,247.976824276824,250.645505044442,1.56857032859402,0,2,0.338503171473576
66,3,animal,0,1,animals,2,a_008.jpg,8,tbd,250.995927498882,253.864759588678,1.79423057126021,0,3,0.233374029638298
67,4,animal,0,0,animals,2,a_172.jpg,172,tbd,254.115131078528,256.717118793784,1.54086848428393,0,3,1.34306368446755
