trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,3,animal,0,1,tools,1,a_043.jpg,43,tbd,0.0271168787137412,3.09595092872428,1.8158717520274,0,2,3.20155110873026
2,3,tool,0,1,tools,1,t_220.jpg,220,tbd,6.34871267788503,9.2010258502811,1.78994704963456,0,4,1.52110865154566
3,2,animal,0,1,tools,1,a_100.jpg,100,tbd,10.7354624399815,13.7213341642181,1.91002919685693,0,1,0.57534359017825
4,4,tool,0,0,tools,1,t_276.jpg,276,tbd,14.3052986193366,16.9070958129895,1.52820188432719,0,3,1.15174773391652
5,4,tool,0,0,tools,1,t_257.jpg,257,tbd,18.0749487095747,20.9938928190138,1.82619419642934,0,1,0.534045084568163
6,4,tool,0,0,tools,1,t_242.jpg,242,tbd,21.5444407748079,24.2632005270868,1.64508337558186,0,2,1.8989215174816
7,4,tool,0,0,tools,1,t_285.jpg,285,tbd,26.1815365273126,28.4332283121612,1.16979989667511,0,3,1.0669363840841
8,2,animal,0,1,tools,1,a_139.jpg,139,tbd,29.5175162262151,31.8526536810279,1.2754008736333,0,1,0.605478673172627
9,3,animal,0,1,tools,1,a_147.jpg,147,tbd,32.4696452659638,35.1217907593004,1.55502513264453,0,1,0.801641042181416
10,3,tool,0,1,tools,1,t_187.jpg,187,tbd,35.9393778807276,38.5747436010084,1.56959641937885,0,2,0.978791017757544
11,4,tool,0,0,tools,1,t_261.jpg,261,tbd,39.5590100580441,42.2610641265225,1.60308947788741,0,4,0.764577491240402
12,3,animal,0,1,tools,1,a_141.jpg,141,tbd,43.0450904189069,46.0639937632189,1.94527720020681,0,1,0.865753265272815
13,3,tool,0,1,tools,1,t_247.jpg,247,tbd,46.9483067585705,49.8169763368488,1.78087701391947,0,1,0.711901313566045
14,3,tool,0,1,tools,1,t_321.jpg,321,tbd,50.5345237194934,53.5701635379459,1.97211319005552,0,4,1.06391444051428
15,4,animal,0,0,tools,1,a_010.jpg,10,tbd,54.6545197680665,57.3231942214819,1.58692225039593,0,2,3.95677367958876
16,2,animal,0,1,tools,1,a_176.jpg,176,tbd,61.2930225749588,63.5281947009772,1.1493820760846,0,1,0.255050927997331
17,2,animal,0,1,tools,1,a_077.jpg,77,tbd,63.7951924920911,66.6138598412769,1.71430868129428,0,1,0.283508578931674
18,4,tool,0,0,tools,1,t_319.jpg,319,tbd,66.9144062735906,69.1992749704312,1.19643980708257,0,4,0.456134940401967
19,2,tool,0,1,tools,1,t_312.jpg,312,tbd,69.6666338424271,72.4685801126424,1.72377943178515,0,1,0.818811467675005
20,4,tool,0,0,tools,1,t_206.jpg,206,tbd,73.3025762401157,75.6212758229387,1.23875828052293,0,4,2.72246015502822
21,2,animal,0,1,tools,1,a_140.jpg,140,tbd,78.3569542255358,81.259002456679,1.8202584982065,0,1,0.610848059428122
22,4,tool,0,0,tools,1,t_358.jpg,358,tbd,81.876464235764,84.378358322768,1.42924737904248,0,4,1.04352417937059
23,1,tool,0,1,tools,1,t_245.jpg,245,tbd,85.4293189011901,87.7308907159696,1.22859875615171,0,1,2.56486845995266
24,4,tool,0,0,tools,1,t_191.jpg,191,tbd,90.2998095997812,92.4181676664173,1.03501809980779,0,4,1.60673049292973
