trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,1,animal,0,0,tools,2,a_131.jpg,131,tbd,0.0265649101734198,5.9814879953592,5.55213145619327,,2.5087266480682,0,,0
2,1,animal,0,0,tools,2,a_119.jpg,119,tbd,8.4999018869903,15.3224221908756,6.76518927745553,animal,1.13067230906699,0,2,1
3,1,tool,0,0,tools,2,t_239.jpg,239,tbd,17.8913363238826,25.180505814636,7.25086630291991,tool,0.550147506817211,0,1,1
4,1,tool,0,0,tools,2,t_331.jpg,331,tbd,27.7494125706985,35.7558385308719,7.96929492467468,tool,0.731128974008243,0,1,1
5,1,animal,0,0,tools,2,a_160.jpg,160,tbd,38.3080583176334,42.7616012075096,4.41890541807731,animal,0.562667785396343,0,2,1
6,1,tool,0,0,tools,2,t_242.jpg,242,tbd,45.3137943731233,53.3367578392865,7.97752914286203,tool,0.634968898160423,0,1,1
7,1,tool,0,0,tools,2,t_281.jpg,281,tbd,55.8891270893591,63.6117959909193,7.67809314678787,tool,0.788404533677749,0,1,1
8,1,animal,0,0,tools,2,a_013.jpg,13,tbd,66.1642018049779,73.6200078131465,7.40065298349635,animal,0.654151199138369,0,2,1
9,1,tool,0,0,tools,2,t_342.jpg,342,tbd,76.1390736866954,83.7117603249962,7.53036396511585,tool,0.532277660494856,0,1,1
10,1,animal,0,0,tools,2,a_107.jpg,107,tbd,86.2640016011178,91.1511827808001,4.85209368621683,animal,0.719197888782674,0,2,1
11,1,animal,0,0,tools,2,a_069.jpg,69,tbd,93.686746068249,98.3402420022696,4.62231138808744,animal,0.672474246445063,0,2,1
12,1,tool,0,0,tools,2,t_328.jpg,328,tbd,100.892642684541,105.813222820289,4.89531976408715,tool,0.836834495362382,0,1,1
13,1,tool,0,0,tools,2,t_350.jpg,350,tbd,108.34878001374,113.586224293754,5.2095843604732,tool,0.634126002061748,0,1,1
14,1,tool,0,0,tools,2,t_198.jpg,198,tbd,116.155176915167,123.094043534236,6.89602142618588,tool,0.658766279794236,0,1,1
15,1,animal,0,0,tools,2,a_035.jpg,35,tbd,125.646281282254,130.766950775253,5.07635643238054,animal,0.702153298039548,0,2,1
16,1,animal,0,0,tools,2,a_012.jpg,12,tbd,133.302541325323,138.423237439469,5.06944670503654,animal,0.686209796454023,0,2,1
17,1,animal,0,0,tools,2,a_070.jpg,70,tbd,140.958815480807,146.763252360141,5.76246277321585,animal,1.17760026069482,0,2,1
18,1,tool,0,0,tools,2,t_187.jpg,187,tbd,149.315654646096,156.638186849666,7.28075672099317,tool,0.532104462666666,0,1,1
19,1,animal,0,0,tools,2,a_158.jpg,158,tbd,159.190404070534,166.562983390328,7.32596892813521,animal,0.638718951883675,0,2,1
20,1,tool,0,0,tools,2,t_247.jpg,247,tbd,169.11522370424,175.353337682523,6.19957944464419,tool,1.12079361810902,0,1,1
21,1,animal,0,0,tools,2,a_007.jpg,7,tbd,177.905753118684,184.594225391956,6.65098964719715,animal,0.635242486582001,0,2,1
22,1,animal,0,0,tools,2,a_120.jpg,120,tbd,187.14664339401,195.102846153501,7.91674444948733,animal,0.562073139518361,0,2,1
23,1,tool,0,0,tools,2,t_248.jpg,248,tbd,197.638587770565,202.859201070491,5.1722287494317,tool,0.663094621822665,0,1,1
24,1,tool,0,0,tools,2,t_352.jpg,352,tbd,205.411612657811,209.464793051047,4.00942105434933,tool,0.849795466193882,0,1,1
25,1,tool,0,0,tools,2,t_273.jpg,273,tbd,212.03368601543,216.837466988173,4.77171701235062,tool,0.68542527443833,0,1,1
26,1,animal,0,0,tools,2,a_121.jpg,121,tbd,219.372971260065,225.477911503607,6.06819441528948,animal,0.61338267547012,0,2,1
27,1,tool,0,0,tools,2,t_297.jpg,297,tbd,228.030146364995,234.768776087923,6.70174759839054,tool,0.709889146975001,0,1,1
28,1,animal,0,0,tools,2,a_073.jpg,73,tbd,237.304401598295,243.80959560873,6.47414598423932,animal,0.734431920744555,0,2,1
29,1,tool,0,0,tools,2,t_282.jpg,282,tbd,246.378481516905,254.034593700346,7.62342570496824,tool,0.871920847309411,0,1,1
30,1,animal,0,0,tools,2,a_046.jpg,46,tbd,256.57020734346,261.206990649242,4.59229602158374,animal,0.63784783095366,0,2,1
31,1,animal,0,0,tools,2,a_058.jpg,58,tbd,263.742702117055,268.91335201304,5.12809546628707,animal,0.57472780678313,0,2,1
32,1,animal,0,0,tools,2,a_057.jpg,57,tbd,271.449021143606,277.25345513631,5.77400752133507,animal,0.595084645627594,0,2,1
33,1,tool,0,0,tools,2,t_241.jpg,241,tbd,279.805868006576,285.727266662433,5.87195204348977,tool,0.598661822259146,0,1,1
34,1,animal,0,0,tools,2,a_100.jpg,100,tbd,288.279495750559,295.468387547461,7.13791604222777,animal,0.672937390267862,0,2,1
35,1,tool,0,0,tools,2,t_303.jpg,303,tbd,298.020805228778,305.12641517059,7.07707379079741,tool,0.505255271147689,0,1,1
36,1,tool,0,0,tools,2,t_192.jpg,192,tbd,307.662032341808,315.18476327385,7.47742150652922,tool,0.628428755714822,0,1,1
37,1,tool,0,0,tools,2,t_257.jpg,257,tbd,317.72025599922,324.342190157103,6.58362205145664,tool,0.67142864473999,0,1,1
38,1,animal,0,0,tools,2,a_155.jpg,155,tbd,326.877755048236,334.900867336237,7.98383881432695,animal,0.653188668243502,0,2,1
39,1,animal,0,0,tools,2,a_153.jpg,153,tbd,337.436426454108,341.489577660303,4.00047329096536,animal,0.734771580930556,0,2,1
40,1,animal,0,0,tools,2,a_009.jpg,9,tbd,344.058497566571,351.998181422801,7.89161561280118,animal,0.628620877009553,0,2,1
41,1,tool,0,0,tools,2,t_346.jpg,346,tbd,354.550441622389,358.887136918015,4.29962750594097,tool,0.718011804394337,0,1,1
42,1,tool,0,0,tools,2,t_225.jpg,225,tbd,361.439402249391,368.278022606807,6.79421201396544,tool,0.715516793454071,0,1,1
43,1,tool,0,0,tools,2,t_205.jpg,205,tbd,370.830450551699,376.985332709821,6.10681330372539,tool,0.741512825299196,0,1,1
44,1,animal,0,0,tools,2,a_080.jpg,80,tbd,379.537598361934,385.975963348774,6.39369289448605,animal,0.697373679446855,0,2,1
45,1,animal,0,0,tools,2,a_178.jpg,178,tbd,388.544962156275,396.18435850411,7.58007358142555,animal,0.556417268208406,0,2,1
46,1,animal,0,0,tools,2,a_086.jpg,86,tbd,398.736656229894,404.791467569348,6.02059195101058,animal,0.705662799223319,0,2,1
47,1,tool,0,0,tools,2,t_349.jpg,349,tbd,407.343679016955,413.198296759725,5.82083586516487,tool,0.689198421205447,0,1,1
48,1,animal,0,0,tools,2,a_164.jpg,164,tbd,415.733888272005,423.656705867108,7.88488508383919,animal,0.673244976781916,0,2,1
49,1,tool,0,0,tools,2,t_265.jpg,265,tbd,426.209154980624,433.448055405344,7.19890247468003,tool,0.58235556744421,0,1,1
50,1,tool,0,0,tools,2,t_237.jpg,237,tbd,436.000462181613,442.021962767599,5.98103698424991,tool,0.867795531624324,0,1,1
51,1,animal,0,0,tools,2,a_159.jpg,159,tbd,444.574172290785,450.695786674159,6.08225390583112,animal,0.610394050718696,0,2,1
52,1,tool,0,0,tools,2,t_319.jpg,319,tbd,453.24794487947,458.819012759548,5.54197031176545,tool,0.548461073146427,0,1,1
53,1,animal,0,0,tools,2,a_078.jpg,78,tbd,461.371263657771,469.127453716088,7.71493690443693,animal,0.576517517677303,0,2,1
54,1,animal,0,0,tools,2,a_126.jpg,126,tbd,471.67970172768,479.669428209821,7.94337153551238,animal,0.657002869310645,0,2,1
55,1,tool,0,0,tools,2,t_243.jpg,243,tbd,482.204974498223,486.24147850647,4.00591326173331,tool,0.66425055695936,0,1,1
56,1,tool,0,0,tools,2,t_359.jpg,359,tbd,488.793667502507,496.39963217913,7.56340022162805,tool,0.672501509066478,0,1,1
57,1,tool,0,0,tools,2,t_325.jpg,325,tbd,498.940436946048,504.389684850514,5.39902430784495,tool,0.579809238628741,0,1,1
58,1,animal,0,0,tools,2,a_166.jpg,166,tbd,506.941922277795,511.528695352076,4.55115043034512,animal,0.64405472794806,0,2,1
59,1,animal,0,0,tools,2,a_041.jpg,41,tbd,514.081108222342,519.1182447234,5.00307878221669,animal,0.703900350950107,0,2,1
60,1,tool,0,0,tools,2,t_278.jpg,278,tbd,521.670646367881,528.125817638082,6.41700270660753,tool,0.634724496780109,0,1,1
