trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,4,animal,0,0,tools,2,a_117.jpg,117,tbd,0.0320419240324554,2.53127407786269,1.36745954399053,0,1,2.01894062398605
2,4,animal,0,0,tools,2,a_154.jpg,154,tbd,4.58120781344405,7.66389015606183,1.9975397047952,0,4,1.80253245056156
3,4,animal,0,0,tools,2,a_168.jpg,168,tbd,9.48034060272039,12.263105567381,1.6964033378155,0,4,0.815433805742941
4,3,tool,0,1,tools,2,t_333.jpg,333,tbd,13.0964046886875,15.7623447774422,1.57207928404443,0,1,0.562442926242511
5,4,tool,0,0,tools,2,t_329.jpg,329,tbd,16.329114358161,18.578619139078,1.14941307986858,0,2,1.76034196569708
6,3,tool,0,1,tools,2,t_257.jpg,257,tbd,20.345098003103,23.2944916804627,1.8598701530085,0,4,1.20854795117702
7,4,animal,0,0,tools,2,a_150.jpg,150,tbd,24.5110082632473,27.4937384599361,1.8929652042824,0,4,0.266477678816955
8,4,tool,0,0,tools,2,t_185.jpg,185,tbd,27.7771497111589,29.9433444656861,1.0734388401212,0,4,0.264979512796344
9,4,tool,0,0,tools,2,t_191.jpg,191,tbd,30.2266736080455,32.4094043179157,1.09045146216748,0,4,0.309097310790094
10,2,animal,0,1,tools,2,a_169.jpg,169,tbd,32.7262858361082,35.0424258086277,1.2210650808051,0,1,0.427281794010923
11,4,tool,0,0,tools,2,t_261.jpg,261,tbd,35.4757482796431,38.4417834350661,1.87683239088379,0,4,0.200935240723993
12,3,animal,0,1,tools,2,a_127.jpg,127,tbd,38.6585264586993,40.8746786833999,1.1351009760637,0,1,0.495239066611248
13,4,animal,0,0,tools,2,a_122.jpg,122,tbd,41.3747194170937,44.1907929969002,1.72661909017089,0,4,0.241256465991682
14,1,tool,0,1,tools,2,t_244.jpg,244,tbd,44.440845918627,47.3567208976201,1.81123705317996,0,1,0.754519292615441
15,4,animal,0,0,tools,2,a_140.jpg,140,tbd,48.123517933489,51.1560631927932,1.94912200106783,0,1,0.368388249436975
16,3,tool,0,1,tools,2,t_215.jpg,215,tbd,51.5396260888247,54.1390461308274,1.50041780970444,0,1,0.279420729906633
17,2,tool,0,1,tools,2,t_194.jpg,194,tbd,54.4224381377862,56.5384252466956,1.0145126485795,0,1,0.267207036456966
18,1,animal,0,1,tools,2,a_149.jpg,149,tbd,56.8220019985965,59.2881009808316,1.37905145368292,0,2,0.745703174134178
19,1,animal,0,1,tools,2,a_026.jpg,26,tbd,60.0381086785383,62.9708089183205,1.84176734508323,0,1,0.263146817304005
20,4,animal,0,0,tools,2,a_075.jpg,75,tbd,63.2541762284727,65.8702711052647,1.52589614075654,0,1,0.270748301934873
21,2,animal,0,1,tools,2,a_171.jpg,171,tbd,66.1536881297689,68.9197423370133,1.6766898141243,0,1,0.319491779731834
22,3,tool,0,1,tools,2,t_322.jpg,322,tbd,69.2531158694783,71.5359517171819,1.18899943984386,0,1,0.393331061895879
23,4,tool,0,0,tools,2,t_335.jpg,335,tbd,71.9359742329707,74.1854796553635,1.16079529562475,0,2,0.792022516030556
24,2,animal,0,1,tools,2,a_110.jpg,110,tbd,74.9854127494691,78.0681271658614,1.98519581176613,0,1,0.22445814717139
25,4,tool,0,0,tools,2,t_287.jpg,287,tbd,78.3015379680528,80.4010709097438,1.01057002127096,0,4,0.295703623165537
26,4,tool,0,0,tools,2,t_302.jpg,302,tbd,80.7011040740272,83.7004991626327,1.90868341371567,0,4,0.64244839161438
27,2,tool,0,1,tools,2,t_268.jpg,268,tbd,84.3504822276809,87.0332305781267,1.59862004551005,0,1,0.263786368372166
28,4,tool,0,0,tools,2,t_276.jpg,276,tbd,87.3165911527849,90.3492919698965,1.9386965853798,0,4,0.256012968309733
29,1,animal,0,1,tools,2,a_041.jpg,41,tbd,90.6160081798553,93.0986386271034,1.38201625300492,0,4,1.79477733255044
30,4,tool,0,0,tools,2,t_250.jpg,250,tbd,94.8985912862117,97.931117301252,1.9335655860969,0,3,1.45758670014402
31,4,animal,0,0,tools,2,a_086.jpg,86,tbd,99.397792328482,102.113862123582,1.62624241098478,0,4,0.46094097551395
32,3,tool,0,1,tools,2,t_222.jpg,222,tbd,102.580592317705,105.246644023197,1.57954966064343,0,1,0.194219633753164
33,4,tool,0,0,tools,2,t_184.jpg,184,tbd,105.446724400075,107.746201725842,1.20963914682148,0,4,0.597877070442337
34,4,tool,0,0,tools,2,t_238.jpg,238,tbd,108.362904721404,110.479058293204,1.02426539035154,0,4,0.271153393710847
35,3,tool,0,1,tools,2,t_326.jpg,326,tbd,110.762448375735,112.978622410603,1.1251547315445,0,1,0.251685253875621
36,4,tool,0,0,tools,2,t_218.jpg,218,tbd,113.245331564331,115.794812418211,1.46430182743273,0,4,0.634563054074533
37,4,tool,0,0,tools,2,t_345.jpg,345,tbd,116.444773352354,119.177500983142,1.63572875602721,0,4,0.195973748497636
38,4,animal,0,0,tools,2,a_137.jpg,137,tbd,119.377590340677,122.143645189399,1.67241434715073,0,1,0.196101722858657
39,2,tool,0,1,tools,2,t_353.jpg,353,tbd,122.343678738567,124.626557885866,1.19756502181326,0,1,0.110288017607672
40,4,tool,0,0,tools,2,t_341.jpg,341,tbd,124.743278201267,127.809321310986,1.9782999370447,0,4,0.0354085829276301
41,4,animal,0,0,tools,2,a_045.jpg,45,tbd,127.859300912065,130.242229709569,1.29426354600308,0,4,0.266773078283222
42,4,animal,0,0,tools,2,a_031.jpg,31,tbd,130.525626206856,133.191702609152,1.57315011163815,0,3,1.72062212370474
43,3,animal,0,1,tools,2,a_138.jpg,138,tbd,134.924862594426,137.407647958007,1.39001222464048,0,3,0.307806662091025
44,1,tool,0,1,tools,2,t_223.jpg,223,tbd,137.724346976422,140.523763682751,1.70376327472098,0,1,0.858872922663068
45,3,tool,0,1,tools,2,t_349.jpg,349,tbd,141.390369494777,143.523280972442,1.03992494326277,0,1,0.253465669113211
46,3,animal,0,1,tools,2,a_109.jpg,109,tbd,143.789928865259,146.139267439874,1.2459538738413,0,4,0.397658134856101
47,4,animal,0,0,tools,2,a_008.jpg,8,tbd,146.55614889392,148.655638856753,1.01117038741629,0,1,0.340343582212881
48,1,animal,0,1,tools,2,a_016.jpg,16,tbd,149.005695883923,152.055021179996,1.96303858938578,0,4,0.214092223890475
49,2,animal,0,1,tools,2,a_130.jpg,130,tbd,152.288449302026,155.071173532993,1.68886670347775,0,1,0.265040452968606
50,2,animal,0,1,tools,2,a_128.jpg,128,tbd,155.35455431413,158.437219016172,1.98418360245556,0,1,1.05719790184594
51,2,animal,0,1,tools,2,a_111.jpg,111,tbd,159.503825662114,162.186568560019,1.58431377815485,0,3,0.878084472300543
52,4,tool,0,0,tools,2,t_231.jpg,231,tbd,163.069888978313,165.286033505306,1.12802439826398,0,2,1.56579303202125
53,3,animal,0,1,tools,2,a_175.jpg,175,tbd,166.869190219053,169.218788570479,1.25965617346004,0,3,1.20921093686775
54,4,tool,0,0,tools,2,t_313.jpg,313,tbd,170.435250007136,172.701393700214,1.1737771691497,0,3,0.53373016228943
55,3,tool,0,1,tools,2,t_246.jpg,246,tbd,173.251380357522,176.300738689584,1.94638530973177,0,4,0.298544718138146
56,4,tool,0,0,tools,2,t_207.jpg,207,tbd,176.617468498822,179.366902717435,1.66268068865156,0,4,0.269583703169701
57,4,tool,0,0,tools,2,t_274.jpg,274,tbd,179.650288309638,182.283041342855,1.53765070498248,0,4,0.252520454971091
58,4,animal,0,0,tools,2,a_108.jpg,108,tbd,182.549783211833,185.082519630834,1.45248203775208,0,3,0.506088662417824
59,2,animal,0,1,tools,2,a_011.jpg,11,tbd,185.599218841691,188.431977199154,1.74215862023241,0,1,0.174865035080074
60,4,animal,0,0,tools,2,a_073.jpg,73,tbd,188.615364459194,191.531393392304,1.83470884097101,0,1,0.506615955277084
61,4,animal,0,0,tools,2,a_029.jpg,29,tbd,192.048073679634,194.997459338552,1.85374890662413,0,4,0.299704185097653
62,4,tool,0,0,tools,2,t_198.jpg,198,tbd,195.314113453682,197.896963221403,1.4907754782441,0,1,1.34139143243738
63,4,animal,0,0,tools,2,a_139.jpg,139,tbd,199.246837107321,201.612942247721,1.28312877387045,0,4,0.715486470880933
64,4,tool,0,0,tools,2,t_284.jpg,284,tbd,202.346272223998,204.962353629804,1.51809389784202,0,4,0.276284556206519
65,1,tool,0,1,tools,2,t_343.jpg,343,tbd,205.245776748325,208.095160546964,1.76099022789299,0,1,1.49168112277221
66,3,animal,0,1,tools,2,a_080.jpg,80,tbd,209.595008196533,212.444366015414,1.75712746665356,0,2,1.03567415378166
67,4,animal,0,0,tools,2,a_051.jpg,51,tbd,213.494307127963,215.777100638285,1.18891230747628,0,4,0.471055761139723
68,4,animal,0,0,tools,2,a_022.jpg,22,tbd,216.260498290227,218.443317523715,1.09131356534675,0,4,0.260878559947741
69,4,animal,0,0,tools,2,a_164.jpg,164,tbd,218.710042393592,221.709409257277,1.89975195619364,0,4,0.560059524035751
70,4,tool,0,0,tools,2,t_262.jpg,262,tbd,222.27605439175,224.525582907259,1.16870778726332,0,4,0.151819707138202
71,1,tool,0,1,tools,2,t_319.jpg,319,tbd,224.692280578574,227.325073062535,1.5427272971402,0,4,0.339560661372161
72,4,animal,0,0,tools,2,a_135.jpg,135,tbd,227.675146447333,229.907935659767,1.13587429961492,0,4,0.308872152891126
73,4,animal,0,0,tools,2,a_036.jpg,36,tbd,230.224647186953,232.940715699102,1.62510115111108,0,3,0.335283302762036
74,4,tool,0,0,tools,2,t_186.jpg,186,tbd,233.290800630457,235.906886205856,1.53098737175799,0,3,1.20325128800141
75,4,animal,0,0,tools,2,a_021.jpg,21,tbd,237.123446408972,239.506134332425,1.2827537313929,0,4,0.382054243409584
76,4,animal,0,0,tools,2,a_069.jpg,69,tbd,239.906241843719,242.205762789818,1.2105821971114,0,4,0.776654687566406
77,2,tool,0,1,tools,2,t_260.jpg,260,tbd,242.989102195786,245.521847274707,1.4465229967973,0,1,0.246645501636522
78,4,tool,0,0,tools,2,t_211.jpg,211,tbd,245.771875178891,248.454674526638,1.5921104829166,0,2,0.880964055804725
79,4,animal,0,0,tools,2,a_145.jpg,145,tbd,249.354601783318,251.754098289201,1.31138257991216,0,4,0.293735255605498
80,3,animal,0,1,tools,2,a_072.jpg,72,tbd,252.05414332078,254.286982889042,1.15254485379665,0,1,0.388039851264693
81,4,animal,0,0,tools,2,a_062.jpg,62,tbd,254.68700989516,256.919905592527,1.14834291774888,0,1,0.516136413854838
82,4,tool,0,0,tools,2,t_197.jpg,197,tbd,257.453191435292,259.769368934127,1.2256525874053,0,4,0.654862866893382
83,4,animal,0,0,tools,2,a_030.jpg,30,tbd,260.43603421093,263.435351039527,1.90147969000893,0,4,0.948066883041975
84,3,animal,0,1,tools,2,a_089.jpg,89,tbd,264.401974427979,266.784758572758,1.29371928227491,0,1,0.269723544830413
85,4,animal,0,0,tools,2,a_064.jpg,64,tbd,267.068163409227,269.534226789572,1.36535062482663,0,4,0.213515537418061
86,4,animal,0,0,tools,2,a_047.jpg,47,tbd,269.767617706022,272.683606226177,1.81585879149032,0,4,0.681232641592942
87,2,animal,0,1,tools,2,a_046.jpg,46,tbd,273.383712582814,275.783172203855,1.31078107409152,0,4,0.695789965768199
88,4,tool,0,0,tools,2,t_243.jpg,243,tbd,276.483145775066,279.39921255523,1.81114551056839,0,4,0.224853616815381
