trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,1,animal,0,0,tools,2,a_148.jpg,148,tbd,0.0320223578219156,7.61370239497592,7.51187496622342,animal,1.22047041595761,0,2,1
2,1,tool,0,0,tools,2,t_283.jpg,283,tbd,10.1967920745328,17.7287850234343,7.48493400581642,tool,0.831833128013386,0,1,1
3,1,animal,0,0,tools,2,a_126.jpg,126,tbd,20.2951103823725,28.0769073605097,7.73405051886755,animal,0.936203115683384,0,2,1
4,1,animal,0,0,tools,2,a_100.jpg,100,tbd,30.6432468319081,36.1421685115984,5.45002951659689,animal,0.842254538925772,0,2,1
5,1,animal,0,0,tools,2,a_022.jpg,22,tbd,38.6918472606703,46.290414461002,7.54823849015542,animal,0.652553235575397,0,2,1
6,1,tool,0,0,tools,2,t_205.jpg,205,tbd,48.8567196134609,55.2221213759794,6.31728923284041,tool,0.855345129378293,0,1,1
7,1,tool,0,0,tools,2,t_301.jpg,301,tbd,57.7717850503768,63.6372791853664,5.81346069855009,tool,0.713490841820203,0,1,1
8,1,tool,0,0,tools,2,t_223.jpg,223,tbd,66.203658428245,74.0021283167443,7.74085734928175,tool,0.902065072722507,0,1,1
9,1,animal,0,0,tools,2,a_096.jpg,96,tbd,76.5684889568338,82.0507399713279,5.43969941518,animal,0.676824423190737,0,2,1
10,1,tool,0,0,tools,2,t_248.jpg,248,tbd,84.6004023627738,92.0322962678583,7.38844990999814,tool,0.848821323581433,0,1,1
11,1,tool,0,0,tools,2,t_239.jpg,239,tbd,94.5986389466343,102.447048023256,7.81104978566776,tool,0.652589478941991,0,1,1
12,1,animal,0,0,tools,2,a_162.jpg,162,tbd,105.013483715979,111.445528047067,6.37516423354855,animal,0.778504062630418,0,2,1
13,1,tool,0,0,tools,2,t_279.jpg,279,tbd,114.011855971908,121.127069461368,7.06962689618207,tool,0.782363179215281,0,1,1
14,1,animal,0,0,tools,2,a_030.jpg,30,tbd,123.693470514413,130.592140799858,6.84651239724099,animal,0.628682649407892,0,2,1
15,1,animal,0,0,tools,2,a_007.jpg,7,tbd,133.141808323107,139.757187313246,6.56118841421176,animal,0.626092692092243,0,2,1
16,1,animal,0,0,tools,2,a_056.jpg,56,tbd,142.306842327724,149.505355259228,7.15149192172136,animal,0.596389489975081,0,2,1
17,1,tool,0,0,tools,2,t_344.jpg,344,tbd,152.055131512575,156.387584527703,4.28065887287995,tool,0.537496266136259,0,1,1
18,1,animal,0,0,tools,2,a_170.jpg,170,tbd,158.937247881362,164.136222675224,5.14786225951634,animal,0.588266485765416,0,2,1
19,1,tool,0,0,tools,2,t_193.jpg,193,tbd,166.685894047327,172.868029467936,6.13067467168717,tool,0.780949046484238,0,1,1
20,1,animal,0,0,tools,2,a_088.jpg,88,tbd,175.434352902447,180.266697187478,4.78386681502429,animal,0.609595225279008,0,2,1
21,1,tool,0,0,tools,2,t_180.jpg,180,tbd,182.816375615812,189.148466197284,6.29081503750574,tool,0.870253340649469,0,1,1
22,1,animal,0,0,tools,2,a_081.jpg,81,tbd,191.714788028105,198.163539267757,6.39282113307689,animal,0.667531688413874,0,2,1
23,1,animal,0,0,tools,2,a_160.jpg,160,tbd,200.729864626695,206.345485773832,5.57203496661683,animal,0.618878979398687,0,2,1
24,1,tool,0,0,tools,2,t_221.jpg,221,tbd,208.911758211042,213.7774874468,4.82230877886178,tool,1.08528939798725,0,1,1
25,1,tool,0,0,tools,2,t_278.jpg,278,tbd,216.343761808436,221.159313227187,4.75576794997745,tool,0.811932954430631,0,1,1
26,1,animal,0,0,tools,2,a_026.jpg,26,tbd,223.725818199264,229.79113676241,6.01370209509394,animal,0.69261049367924,0,2,1
27,1,tool,0,0,tools,2,t_336.jpg,336,tbd,232.340954390927,236.623234720851,4.24125379000811,tool,1.04569560593063,0,1,1
