trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,3,tool,0,1,animals,1,abacus.jpg,12,(unused),0.0413299844462927,2.49307483546636,1.23965563244129,0,4,3.20850082584889
2,2,animal,0,1,animals,1,catfish.jpg,87,(unused),5.74601264229307,8.76506645007174,1.92379520899389,0,3,3.88491581307392
3,4,tool,0,0,animals,1,nails.jpg,222,(unused),12.6684220833031,14.936823668779,1.166286643817,0,4,2.98242168419722
4,1,tool,0,1,animals,1,chainsaw.jpg,179,(unused),17.9394165210513,20.7082664993372,1.67356270433525,0,1,1.80913550374061
5,3,animal,0,1,animals,1,beta.jpg,17,(unused),22.5265237202897,24.8950506504796,1.26855634182905,0,3,0.698580696219153
6,1,animal,0,1,animals,1,giraffe.jpg,171,(unused),25.6124582985599,28.1310621098347,1.4210137122457,0,3,2.40082253197392
7,2,tool,0,1,animals,1,keys.jpg,72,(unused),30.5498382219803,33.051792162609,1.40782819347121,0,3,0.392239883043715
8,2,animal,0,1,animals,1,seal.jpg,107,(unused),33.4522505624689,35.9374962579942,1.38553203987101,0,2,1.65774166923791
9,1,tool,0,1,animals,1,wateringcan.jpg,123,(unused),37.6056483728494,39.8740945410153,1.17012962539381,0,3,0.473276138713572
10,4,tool,0,0,animals,1,cheesegrater.jpg,230,(unused),40.3579652294041,42.5762731912311,1.12189086459109,0,4,1.52322158104766
11,1,animal,0,1,animals,1,earthworm.jpg,137,(unused),44.1110278036151,46.9966555631713,1.7912985707541,0,1,1.45704130404476
12,4,tool,0,0,animals,1,videogamecontroller.jpg,308,(unused),48.464645512501,51.2000873397883,1.64858871133814,0,4,0.859924168319026
13,3,tool,0,1,animals,1,nailgun.jpg,25,(unused),52.0675712274759,54.8197591470422,1.66185728131113,0,2,3.45850355212855
14,2,animal,0,1,animals,1,caiman.jpg,64,(unused),58.2894021840279,61.3417785055519,1.9509140981711,0,3,4.93981731098813
15,1,tool,0,1,animals,1,tape.jpg,126,(unused),66.2960055539661,68.8812627319396,1.4870452785165,0,4,4.07575314013957
16,2,animal,0,1,animals,1,starfish.jpg,105,(unused),72.9682153350876,75.9036810894876,1.83364501447566,0,2,4.91072694540361
17,4,animal,0,0,animals,1,halibut.jpg,357,(unused),80.8246959582958,83.3765151565643,1.44056818210728,0,3,1.32508006981635
18,4,tool,0,0,animals,1,electricpipethreader.jpg,241,(unused),84.7111861844231,87.7802826183852,1.97177590481448,0,4,4.37466885063048
19,4,animal,0,0,animals,1,reindeer.jpg,237,(unused),92.1673707015926,94.6526375658771,1.38754624521229,0,2,5.21360442126644
20,2,tool,0,1,animals,1,stopwatch.jpg,111,(unused),99.8737359550628,102.075466212468,1.10534126024118,0,1,1.49503794398532
21,4,tool,0,0,animals,1,tubingbender.jpg,260,(unused),103.576779958499,105.895233471582,1.21971952360353,0,3,1.23942228911051
22,4,animal,0,0,animals,1,bat.jpg,281,(unused),107.146467834765,110.015295617928,1.7715856772702,0,4,2.65088010458436
23,2,animal,0,1,animals,1,kangaroo.jpg,115,(unused),112.684313086003,115.469804595727,1.68761924639942,0,2,2.79539762044971
24,4,animal,0,0,animals,1,jackal.jpg,186,(unused),118.272229188437,120.44057599173,1.0701345925077,0,3,4.43197621011001
25,4,tool,0,0,animals,1,computermouse.jpg,199,(unused),124.877691305659,126.996005746409,1.02054224706977,0,1,2.80886929055578
26,1,tool,0,1,animals,1,oven.jpg,128,(unused),129.81512094359,132.383790153501,1.46665860098597,0,3,4.20341839919064
27,4,tool,0,0,animals,1,iron.jpg,330,(unused),136.60410626081,139.206099267422,1.4951708821565,0,4,0.992287288234877
28,4,animal,0,0,animals,1,zebra.jpg,250,(unused),140.206990279744,143.192688858422,1.87738605981421,0,2,10.5333890002743
29,1,animal,0,1,animals,1,stickinsect.jpg,162,(unused),153.734890062989,155.886545620333,1.0491671346309,0,1,1.24162223638103
30,3,animal,0,1,animals,1,mountainsheep.jpg,7,(unused),157.137650725789,159.939861064996,1.70776072773164,0,3,6.42963994885918
31,4,tool,0,0,animals,1,pliers.jpg,274,(unused),166.37849603925,168.630395293918,1.15384483177126,0,2,3.93062301321038
32,2,animal,0,1,animals,1,cow.jpg,80,(unused),172.56706927129,174.968886962086,1.30012765073915,0,1,1.45723182287816
33,2,tool,0,1,animals,1,carjack.jpg,88,(unused),176.436908985294,179.205810923262,1.66558480252341,0,4,1.52453661003278
34,4,animal,0,0,animals,1,watusi.jpg,349,(unused),180.740466748102,183.842906223091,1.99547350619966,0,4,0.657715047919396
35,4,tool,0,0,animals,1,auger.jpg,192,(unused),184.510304281082,187.429220876812,1.83559622287998,0,4,0.645511578937089
36,4,tool,0,0,animals,1,scissors.jpg,340,(unused),188.079853277459,190.631860749389,1.44843251490398,0,2,0.554052916712863
37,4,tool,0,0,animals,1,mop.jpg,194,(unused),191.199136028576,194.251524217435,1.93804446053976,0,4,0.484608801916579
38,3,tool,0,1,animals,1,monkeywrench.jpg,16,(unused),194.752044455731,197.821136078611,1.97478578228162,0,3,0.399112673554441
39,4,animal,0,0,animals,1,dramaderry.jpg,204,(unused),198.238261669011,201.057037203827,1.71393300903132,0,2,1.6554968185385
