"trial","phase","object","toShock","seenBefore","shockedCategory","responseSide","filename","num","name","onsetFixationCross","onsetStimulus","interTrialTime","response","reactionTime","wasShocked","buttonPressed","isResponseCorrect"
1,1,"animal",0,0,"animals",1,"turtle.jpg",78,"(unused)",0.0315525153919225,4.96852841978307,4.82769224044908,"animal",0.831772490678304,0,1,1
2,1,"tool",0,0,"animals",1,"lighterbic.jpg",69,"(unused)",7.55416907008566,14.5430833003411,6.94434351955049,"tool",0.86848247643411,0,2,1
3,1,"animal",0,0,"animals",1,"orangutan.jpg",73,"(unused)",17.0952677877685,21.298498133091,4.15799582111205,"animal",0.947270854786439,0,1,1
4,1,"animal",0,0,"animals",1,"dolphin.jpg",86,"(unused)",23.850688393688,27.9871956449506,4.08489945799566,"animal",0.897789333581386,0,1,1
5,1,"tool",0,0,"animals",1,"mixer.jpg",116,"(unused)",30.5560421430901,36.6274738989259,6.01732598976707,"tool",0.93360319502699,0,2,1
6,1,"animal",0,0,"animals",1,"prayingmantis.jpg",96,"(unused)",39.1963226421867,44.1835376360077,4.94047400712668,"animal",0.770861054637862,0,1,1
7,1,"animal",0,0,"animals",1,"malaysianjunglenymph.jpg",85,"(unused)",46.7357195575823,51.589424216947,4.81526170218583,"animal",0.765191480752037,0,1,1
8,1,"animal",0,0,"animals",1,"baldeagle.jpg",71,"(unused)",54.1583557089816,58.9119058077504,4.70020398272396,"animal",0.795766510957037,0,1,1
9,1,"tool",0,0,"animals",1,"airhorn.jpg",89,"(unused)",61.464225323215,68.1861599382137,6.67080696976605,"tool",0.801842772611053,0,2,1
10,1,"tool",0,0,"animals",1,"stopwatch.jpg",111,"(unused)",70.7383412183244,78.7780247074743,7.99733350253604,"tool",0.749532397999246,0,2,1
11,1,"tool",0,0,"animals",1,"stove.jpg",101,"(unused)",81.3468702434184,86.3674390867091,4.96936232590833,"tool",0.91514893569547,0,2,1
12,1,"animal",0,0,"animals",1,"manatee.jpg",65,"(unused)",88.9362974519208,96.5256027823852,7.54579071563346,"animal",0.813264669154705,0,1,1
13,1,"animal",0,0,"animals",1,"gerbil.jpg",90,"(unused)",99.0777641771319,105.883125271289,6.75319617688325,"animal",0.800011394724606,0,1,1
14,1,"animal",0,0,"animals",1,"goldfish.jpg",98,"(unused)",108.451979466988,115.657675918188,7.15428183726344,"animal",0.751752823412062,0,1,1
15,1,"tool",0,0,"animals",1,"gardenhose.jpg",114,"(unused)",118.2264694956,125.632344850931,7.35434298718677,"tool",0.712349653748788,0,2,1
16,1,"tool",0,0,"animals",1,"carjack.jpg",88,"(unused)",128.184495982264,134.439414803473,6.20415021552072,"tool",0.744449121622893,0,2,1
17,1,"animal",0,0,"animals",1,"seal.jpg",107,"(unused)",136.991582612853,144.680960396603,7.64173819100609,"animal",0.995210939542631,0,1,1
18,1,"animal",0,0,"animals",1,"crow.jpg",75,"(unused)",147.233150977932,153.504716094,6.22571163876582,"animal",0.843769138390599,0,1,1
19,1,"animal",0,0,"animals",1,"ant.jpg",112,"(unused)",156.07355297019,161.044163685001,4.92509338906932,"animal",0.715551518097527,0,1,1
20,1,"tool",0,0,"animals",1,"pliers2.jpg",70,"(unused)",163.612933207537,167.716121248351,4.05868039902937,"tool",0.776940202877086,0,2,1
21,1,"tool",0,0,"animals",1,"ducttape.jpg",83,"(unused)",170.268306377242,176.473162190712,6.1533358589472,"tool",0.727966720651239,0,2,1
22,1,"tool",0,0,"animals",1,"level.jpg",100,"(unused)",179.042017348606,183.295305890692,4.19806372919635,"tool",0.784006883954135,0,2,1
23,1,"animal",0,0,"animals",1,"baboon.jpg",113,"(unused)",185.864146936393,191.385132249769,5.47503214124568,"animal",0.867408346041884,0,1,1
24,1,"animal",0,0,"animals",1,"pelican.jpg",92,"(unused)",193.95400408571,198.140552214225,4.13051380656947,"animal",0.716185283895356,0,1,1
25,1,"tool",0,0,"animals",1,"hammer.jpg",63,"(unused)",200.709319812371,207.865027344851,7.10595588122963,"tool",0.682956199048022,0,2,1
26,1,"tool",0,0,"animals",1,"curlingiron.jpg",99,"(unused)",210.433922914937,217.02243892474,6.53866142553144,"tool",0.655824864878923,0,2,1
27,1,"tool",0,0,"animals",1,"thermometer.jpg",79,"(unused)",219.574574981684,226.396597124358,6.77010208099506,"tool",0.704926960506782,0,2,1
28,1,"animal",0,0,"animals",1,"caiman.jpg",64,"(unused)",228.948776159346,233.335450912728,4.34614746952302,"animal",0.815239414101598,0,1,1
29,1,"tool",0,0,"animals",1,"paintgun.jpg",94,"(unused)",235.904345841351,243.143393255436,7.19169666787337,"tool",0.742537240085767,0,2,1
30,1,"animal",0,0,"animals",1,"catfish.jpg",87,"(unused)",245.695577422131,249.865448465545,4.12139924042232,"animal",0.826829374044792,0,1,1
31,1,"animal",0,0,"animals",1,"macaw.jpg",81,"(unused)",252.417626538339,258.288921085163,5.81436031103567,"animal",0.796439726750577,0,1,1
32,1,"tool",0,0,"animals",1,"reflexhammer.jpg",93,"(unused)",260.841086007958,268.630490701096,7.73688237326848,"tool",0.778150644232483,0,2,1
33,1,"animal",0,0,"animals",1,"dragonfly.jpg",68,"(unused)",271.182685131205,278.054744302352,6.8231101222622,"animal",0.716235638768921,0,1,1
34,1,"animal",0,0,"animals",1,"hedgehog.jpg",108,"(unused)",280.606950920265,286.12793238486,5.47504161807731,"animal",0.682198630823223,0,1,1
35,1,"animal",0,0,"animals",1,"wasp.jpg",104,"(unused)",288.696793636657,292.966748038234,4.21415225412984,"animal",0.675525808246675,0,1,1
36,1,"tool",0,0,"animals",1,"generator.jpg",66,"(unused)",295.518943430538,302.591155526549,7.01508738124574,"tool",0.830456207868338,0,2,1
37,1,"tool",0,0,"animals",1,"eraser.jpg",117,"(unused)",305.143335844465,312.432397194341,7.24248138935248,"tool",1.5085743853042,0,2,1
38,1,"animal",0,0,"animals",1,"stinkbug.jpg",62,"(unused)",314.984574625671,321.372906278905,6.33535653492493,"animal",0.778286313732679,0,1,1
39,1,"tool",0,0,"animals",1,"electricsander.jpg",103,"(unused)",323.925089483407,331.664352910277,7.70430093761862,"tool",0.825017560791821,0,2,1
40,1,"animal",0,0,"animals",1,"shark.jpg",110,"(unused)",334.216680764765,339.020426974919,4.75765636367673,"animal",0.917213485510729,0,1,1
41,1,"animal",0,0,"animals",1,"ram.jpg",97,"(unused)",341.572597991616,349.395413945194,7.76223557215533,"animal",0.831579410208178,0,1,1
42,1,"tool",0,0,"animals",1,"wrench.jpg",118,"(unused)",351.964275838454,359.603630385195,7.59006177575241,"tool",0.887649722289098,0,2,1
43,1,"tool",0,0,"animals",1,"magnifyingglass.jpg",74,"(unused)",362.155803326282,368.560814309738,6.35960178324206,"tool",0.889713630642291,0,2,1
44,1,"tool",0,0,"animals",1,"crutches.jpg",119,"(unused)",371.112993665459,377.23444769611,6.07864800737026,"tool",0.633254014448539,0,2,1
45,1,"animal",0,0,"animals",1,"flea.jpg",77,"(unused)",379.803308306443,385.307606592036,5.44318199505847,"animal",0.821375652579263,0,1,1
46,1,"animal",0,0,"animals",1,"gecko.jpg",120,"(unused)",387.859784023366,393.647567738601,5.74360738316651,"animal",0.800603465403583,0,1,1
