"trial","phase","object","toShock","seenBefore","shockedCategory","responseSide","filename","num","name","onsetFixationCross","onsetStimulus","interTrialTime","response","reactionTime","wasShocked","buttonPressed","isResponseCorrect"
1,1,"animal",0,0,"tools",2,"ant.jpg",112,"(unused)",0.0184418148219265,5.35579416858309,5.28137797354437,"animal",1.18434594760583,0,2,1
2,1,"animal",0,0,"tools",2,"baldeagle.jpg",71,"(unused)",7.92486039101095,14.16317979216,6.19651731092733,"animal",0.873072216842047,0,2,1
3,1,"animal",0,0,"tools",2,"turtle.jpg",78,"(unused)",16.7153522730532,20.8185143650262,4.05616773554125,"animal",0.733131469383807,0,2,1
4,1,"tool",0,0,"tools",2,"tubeflaring.jpg",109,"(unused)",23.3707384842164,29.1587097117426,5.73164104264129,"tool",0.840321027797472,0,1,1
5,1,"tool",0,0,"tools",2,"gardenhose.jpg",114,"(unused)",31.7108873243924,37.8990973710224,6.13695543669312,"tool",0.936272681523405,0,1,1
6,1,"animal",0,0,"tools",2,"caiman.jpg",64,"(unused)",40.451324376827,44.504496427613,4.00640587445974,"animal",0.848056829592679,0,2,1
7,1,"tool",0,0,"tools",2,"crutches.jpg",119,"(unused)",47.0566753232015,54.0789532392337,6.96598729472922,"tool",1.4820474660628,0,1,1
8,1,"tool",0,0,"tools",2,"reflexhammer.jpg",93,"(unused)",56.6478513966449,62.419061025359,5.71604805042264,"tool",0.897156831806569,0,1,1
9,1,"tool",0,0,"tools",2,"clippers.jpg",61,"(unused)",64.971274881038,72.994335069161,7.97512772415516,"tool",0.932420656996328,0,1,1
10,1,"tool",0,0,"tools",2,"shoehorn.jpg",102,"(unused)",75.5465303222227,82.3352402019118,6.73596705129757,"tool",1.39385663144276,0,1,1
11,1,"animal",0,0,"tools",2,"crow.jpg",75,"(unused)",84.9041120590718,91.2258006891207,6.2765664428347,"animal",1.01657953488757,0,2,1
12,1,"tool",0,0,"tools",2,"airhorn.jpg",89,"(unused)",93.7946741499545,101.233951200966,7.39139215281101,"tool",1.36875560800945,0,1,1
13,1,"tool",0,0,"tools",2,"padlock.jpg",84,"(unused)",103.802798361548,109.824263214952,5.98037574813317,"tool",0.99982306783204,0,1,1
14,1,"tool",0,0,"tools",2,"wrench.jpg",118,"(unused)",112.393115828027,119.34873223053,6.90718670250258,"tool",0.721916016125761,0,1,1
15,1,"animal",0,0,"tools",2,"starfish.jpg",105,"(unused)",121.900872317212,129.90726007079,7.95851574068771,"animal",1.22648536395172,0,2,1
16,1,"tool",0,0,"tools",2,"stopwatch.jpg",111,"(unused)",132.459456927523,140.115444516372,7.61118926052017,"tool",0.926714785529839,0,1,1
17,1,"tool",0,0,"tools",2,"level.jpg",100,"(unused)",142.667759724234,148.672522314759,5.96228180616897,"tool",1.16796313655141,0,1,1
18,1,"tool",0,0,"tools",2,"ducttape.jpg",83,"(unused)",151.224706021369,157.096014404317,5.81580542833563,"tool",0.974752834936226,0,1,1
19,1,"animal",0,0,"tools",2,"catfish.jpg",87,"(unused)",159.648220241625,164.752252487015,5.04211604623653,"animal",0.86179229589834,0,2,1
20,1,"tool",0,0,"tools",2,"hoe.jpg",91,"(unused)",167.30444998522,173.959747352854,6.61787107411502,"tool",0.942656265548067,0,1,1
21,1,"animal",0,0,"tools",2,"cheetah.jpg",67,"(unused)",176.511935229015,183.650800232073,7.09951252330875,"animal",0.81400858915913,0,2,1
22,1,"tool",0,0,"tools",2,"keys.jpg",72,"(unused)",186.219837909108,190.973592510449,4.71279787384847,"tool",1.01956333040471,0,1,1
23,1,"tool",0,0,"tools",2,"curlingiron.jpg",99,"(unused)",193.52578648057,200.781550966316,7.21733757143606,"tool",0.975924158297858,0,1,1
24,1,"animal",0,0,"tools",2,"pelican.jpg",92,"(unused)",203.333728578964,208.721328203192,5.33605784945475,"animal",0.776412060022267,0,2,1
25,1,"tool",0,0,"tools",2,"lighterbic.jpg",69,"(unused)",211.273552643117,215.393419563849,4.06950130587664,"tool",0.813582974125893,0,1,1
26,1,"animal",0,0,"tools",2,"shark.jpg",110,"(unused)",217.962304250399,225.551681964016,7.53652242858671,"animal",0.757753635811241,0,2,1
27,1,"tool",0,0,"tools",2,"hammer.jpg",63,"(unused)",228.103891970875,233.991888504375,5.84692744373953,"tool",0.947887128826551,0,1,1
28,1,"animal",0,0,"tools",2,"gecko.jpg",120,"(unused)",236.544049759552,244.066725867793,7.47755926113612,"animal",0.813362629343828,0,2,1
29,1,"tool",0,0,"tools",2,"generator.jpg",66,"(unused)",246.635611195814,253.224188034723,6.54702244908535,"tool",0.910250828581411,0,1,1
30,1,"animal",0,0,"tools",2,"manatee.jpg",65,"(unused)",255.776373986477,261.29743808179,5.47130667634472,"animal",0.69054975979634,0,2,1
31,1,"animal",0,0,"tools",2,"goldfish.jpg",98,"(unused)",263.849610241949,270.721800324765,6.82403319841216,"animal",0.846286052956202,0,2,1
32,1,"tool",0,0,"tools",2,"paintgun.jpg",94,"(unused)",273.273947146878,280.72989759464,7.40400118070015,"tool",0.705800056395674,0,1,1
