,subject,condition,stimulus,memory_condition,phase,buttonPressedCertainty,Low,High,Low_and_High
0,1,CS+,animals/woodlouse.jpg,New,4,3,0,0,0
1,1,CS-,tools/burnisher.jpg,New,4,2,1,0,1
2,1,CS+,animals/assassinbug.jpg,Old,2,1,0,1,1
3,1,CS-,tools/campingstove.jpg,Old,3,3,0,0,0
4,1,CS+,animals/zebra.jpg,Old,3,2,1,0,1
5,1,CS-,tools/grapplinghook.jpg,New,4,4,0,0,0
6,1,CS+,animals/tortoise.jpg,New,4,2,1,0,1
7,1,CS+,animals/flea.jpg,Old,1,1,0,1,1
8,1,CS+,animals/catfish.jpg,Old,2,2,1,0,1
9,1,CS+,animals/octopus.jpg,New,4,3,0,0,0
10,1,CS-,tools/magnet.jpg,New,4,3,0,0,0
11,1,CS+,animals/dragonfly.jpg,Old,1,1,0,1,1
12,1,CS+,animals/panda.jpg,New,4,2,1,0,1
13,1,CS-,tools/gong.jpg,Old,1,1,0,1,1
14,1,CS-,tools/beadingtool.jpg,Old,1,3,0,0,0
15,1,CS-,tools/benchdogs.jpg,Old,2,1,0,1,1
16,1,CS-,tools/carpetblower.jpg,Old,3,2,1,0,1
17,1,CS-,tools/beaker.jpg,Old,2,4,0,0,0
18,1,CS-,tools/engine.jpg,New,4,2,1,0,1
19,1,CS+,animals/aardvark.jpg,Old,3,3,0,0,0
20,1,CS+,animals/seaslug.jpg,New,4,3,0,0,0
21,1,CS+,animals/angelfish.jpg,Old,1,1,0,1,1
22,1,CS+,animals/waterdragon.jpg,New,4,3,0,0,0
23,1,CS-,tools/whistle.jpg,New,4,4,0,0,0
24,1,CS-,tools/treadmill.jpg,Old,3,2,1,0,1
25,1,CS-,tools/reflexhammer.jpg,Old,1,3,0,0,0
26,1,CS+,animals/highlandcow.jpg,New,4,3,0,0,0
27,1,CS+,animals/skunk.jpg,Old,3,1,0,1,1
28,1,CS+,animals/palmcockatoo.jpg,Old,2,1,0,1,1
29,1,CS-,tools/tubeflaring.jpg,Old,2,3,0,0,0
30,1,CS-,tools/electricdrill.jpg,New,4,2,1,0,1
31,1,CS-,tools/wateringcan.jpg,New,4,4,0,0,0
32,1,CS-,tools/sander.jpg,Old,2,3,0,0,0
33,1,CS+,animals/finch.jpg,Old,3,3,0,0,0
34,1,CS-,tools/mellonballer.jpg,New,4,3,0,0,0
35,1,CS+,animals/flounder.jpg,New,4,2,1,0,1
36,1,CS-,tools/extensioncord.jpg,Old,3,1,0,1,1
37,1,CS+,animals/ant.jpg,Old,2,1,0,1,1
38,1,CS+,animals/prayingmantis.jpg,Old,1,1,0,1,1
39,1,CS-,tools/cheesegrater.jpg,Old,1,3,0,0,0
40,1,CS-,tools/caulkinggun.jpg,New,4,3,0,0,0
41,1,CS+,animals/ladybug.jpg,New,4,1,0,1,1
42,1,CS+,animals/reindeer.jpg,Old,3,1,0,1,1
43,1,CS+,animals/balloonfish.jpg,New,4,1,0,1,1
44,1,CS-,tools/mallet.jpg,Old,2,2,1,0,1
45,1,CS-,tools/padlock.jpg,Old,3,1,0,1,1
46,1,CS-,tools/vegetablepeeler.jpg,Old,2,2,1,0,1
47,1,CS+,animals/llama.jpg,Old,3,2,1,0,1
48,1,CS+,animals/pike.jpg,Old,1,2,1,0,1
49,1,CS+,animals/crow.jpg,Old,1,1,0,1,1
50,1,CS+,animals/snail.jpg,Old,2,2,1,0,1
51,1,CS+,animals/koala.jpg,New,4,2,1,0,1
52,1,CS+,animals/stickinsect.jpg,New,4,2,1,0,1
53,1,CS-,tools/bucket.jpg,Old,3,3,0,0,0
54,1,CS-,tools/plunger.jpg,Old,1,1,0,1,1
55,1,CS+,animals/baldeagle.jpg,Old,2,2,1,0,1
56,1,CS-,tools/transmissionwrench.jpg,Old,1,3,0,0,0
57,1,CS-,tools/whisk.jpg,New,4,4,0,0,0
58,1,CS-,tools/bolt.jpg,New,4,4,0,0,0
59,1,CS-,tools/lantern.jpg,New,4,4,0,0,0
60,1,CS+,animals/ostrich.jpg,Old,1,1,0,1,1
61,1,CS+,animals/tiger.jpg,Old,1,4,0,0,0
62,1,CS+,animals/duck.jpg,Old,2,1,0,1,1
63,1,CS+,animals/shark.jpg,Old,2,1,0,1,1
64,1,CS+,animals/rhino.jpg,Old,3,2,1,0,1
65,1,CS+,animals/elephantafrican.jpg,Old,3,2,1,0,1
66,1,CS-,tools/drillbit.jpg,Old,1,1,0,1,1
67,1,CS-,tools/electricbreaker.jpg,Old,1,2,1,0,1
68,1,CS-,tools/viceclamp.jpg,Old,2,4,0,0,0
69,1,CS-,tools/pruner.jpg,Old,2,2,1,0,1
70,1,CS-,tools/paintbrush.jpg,Old,3,3,0,0,0
71,1,CS-,tools/screwdriver.jpg,Old,3,2,1,0,1
72,1,CS+,animals/bullfrog.jpg,New,4,1,0,1,1
73,1,CS+,animals/crane.jpg,New,4,3,0,0,0
74,1,CS+,animals/hermitcrab.jpg,New,4,3,0,0,0
75,1,CS+,animals/monkey.jpg,New,4,4,0,0,0
76,1,CS-,tools/keys.jpg,New,4,2,1,0,1
77,1,CS-,tools/microscope.jpg,New,4,3,0,0,0
78,1,CS-,tools/level.jpg,New,4,4,0,0,0
79,1,CS-,tools/dremel.jpg,New,4,4,0,0,0
80,1,CS+,animals/caterpillarhawkmoth.jpg,Old,3,3,0,0,0
